order_id,line_no,order_ts_utc,client_id,client_id_orig,customer_email,sku,product_name,size,quantity,unit_price_ngn,line_gross_ngn,discount_code,shipping_country,payment_method,sales_channel,order_status,dq_flags
ORD500014,1,2023-01-01T04:11:13Z,XT-01255,Not applicable,harmattan.limited@yahoo.com,XT-STI-010,Lagos Nights Sticker Pack,XL,1,3700.0,3700.0,Not applicable,Canada,PayPal,Instagram,Pending,No issues
ORD500014,2,2023-01-01T04:11:13Z,XT-01255,Not applicable,harmattan.limited@yahoo.com,XT-LEN-028,Studio Basics Lens Cloth,Unknown,1,4900.0,4900.0,Not applicable,United States,Flutterwave,Instagram,Pending,No issues
ORD500015,1,2023-01-01T00:44:27Z,Guest,Not applicable,guest38291@mail.com,XT-HOO-025,Golden Hour Hoodie,One Size,1,43600.0,43600.0,FREESHIP,Nigeria,Bank Transfer,Website,Delivered,No issues
ORD500015,2,2023-01-01T00:44:27Z,Guest,Not applicable,Unknown,XT-CAP-016,35mm Club Cap,One Size,1,15000.0,15000.0,FREESHIP,United Kingdom,Paystack,Website,Delivered,No issues
ORD500016,1,2023-01-01T19:52:08Z,Guest,Not applicable,guest26466@mail.com,XT-STI-026,Golden Hour Sticker Pack,Unknown,1,4400.0,4400.0,Not applicable,Unknown,PayPal,Instagram,Delivered,No issues
ORD500018,1,2023-01-01T16:28:20Z,XT-01312,Not applicable,northline.group@company.ng,XT-TEE-040,Behind The Lens Tee,M,1,21000.0,21000.0,Not applicable,Nigeria,Stripe,Wholesale,Fulfilled,No issues
ORD500019,1,2023-01-01T20:55:38Z,Guest,Not applicable,Unknown,XT-LEN-028,Studio Basics Lens Cloth,M,1,4900.0,4900.0,Not applicable,Ghana,Flutterwave,Instagram,Fulfilled,No issues
ORD500020,1,2023-01-01T20:46:20Z,XT-01192,Not applicable,marcus.obrien@gmail.com,XT-STI-032,Studio Basics Sticker Pack,Unknown,1,2000.0,2000.0,LAGOS10,Ghana,POS,Wholesale,Cancelled,No issues
ORD500021,1,2023-01-01T16:39:14Z,XT-01400,Not applicable,zenith.ngo@mail.com,XT-LIM-002,Harmattan Drop Limited Print,M,1,114900.0,114900.0,LAGOS10,United Kingdom,Flutterwave,Instagram,Pending,No issues
ORD500021,2,2023-01-01T16:39:14Z,XT-01400,Not applicable,zenith.ngo@mail.com,XT-MUG-003,Harmattan Drop Mug,M,1,9100.0,9100.0,LAGOS10,South Africa,POS,Pop-up,Pending,No issues
ORD500021,3,2023-01-01T16:39:14Z,XT-01400,Not applicable,zenith.ngo@mail.com,XT-MUG-035,Anniversary ’05 Mug,Unknown,2,7500.0,15000.0,LAGOS10,South Africa,Paystack,Instagram,Pending,product_name_did_not_match_sku
ORD500021,4,2023-01-01T16:39:14Z,XT-01400,Not applicable,zenith.ngo@mail.com,XT-LEN-001,Harmattan Drop Lens Cloth,One Size,1,4700.0,4700.0,LAGOS10,Nigeria,Bank Transfer,Website,Pending,No issues
ORD500022,1,2023-01-01T23:38:47Z,XT-01567,Not applicable,kofi.anyanwu@company.ng,XT-STI-026,Golden Hour Sticker Pack,L,2,4400.0,8800.0,BLACKFRI,United Kingdom,Bank Transfer,Website,Pending,No issues
ORD500023,1,2023-01-01T17:48:24Z,XT-01342,Not applicable,anchor.limited@company.ng,XT-MUG-041,Behind The Lens Mug,M,1,7400.0,7400.0,BLACKFRI,United States,POS,Instagram,Delivered,product_name_did_not_match_sku
ORD500024,1,2023-01-01T21:24:11Z,Guest,Not applicable,guest79177@mail.com,XT-TOT-023,Golden Hour Tote Bag,One Size,12,11700.0,140400.0,STUDENT5,United Kingdom,PayPal,Website,Cancelled,No issues
ORD500024,2,2023-01-01T21:24:11Z,Guest,Not applicable,guest73912@mail.com,XT-TOT-004,Harmattan Drop Tote Bag,L,1,10600.0,10600.0,STUDENT5,United States,Flutterwave,Wholesale,Cancelled,No issues
ORD500025,1,2023-01-01T20:30:56Z,Guest,Not applicable,guest58647@mail.com,XT-CAP-043,Behind The Lens Cap,M,1,13700.0,13700.0,LAGOS10,Nigeria,Bank Transfer,Pop-up,Fulfilled,No issues
ORD500025,2,2023-01-01T20:30:56Z,Guest,Not applicable,guest2783@mail.com,XT-LIM-011,Lagos Nights Limited Print,One Size,1,58400.0,58400.0,LAGOS10,Ghana,PayPal,Website,Fulfilled,No issues
ORD500026,1,2023-01-01T23:24:32Z,Guest,Not applicable,guest72817@mail.com,XT-OVE-042,Behind The Lens Oversized Tee,L,3,20500.0,61500.0,LAGOS10,United States,Bank Transfer,Website,Pending,No issues
ORD500027,1,2023-01-01T09:00:15Z,XT-00812,Not applicable,zainab.olawale@yahoo.com,XT-CAP-016,35mm Club Cap,XXL,1,15000.0,15000.0,FREESHIP,Nigeria,POS,Wholesale,Shipped,No issues
ORD500028,1,2023-01-01T09:56:21Z,Guest,Not applicable,guest47731@mail.com,XT-MUG-041,Behind The Lens Mug,M,1,7400.0,7400.0,BLACKFRI,Nigeria,Bank Transfer,Instagram,Pending,No issues
ORD500028,2,2023-01-01T09:56:21Z,Guest,Not applicable,Unknown,XT-TEE-017,35mm Club Tee,One Size,1,20300.0,20300.0,BLACKFRI,Nigeria,Paystack,Pop-up,Pending,No issues
ORD500029,1,2023-01-01T12:42:33Z,Guest,Not applicable,guest81087@mail.com,XT-LEN-034,Anniversary ’05 Lens Cloth,XXL,1,3900.0,3900.0,LAGOS10,Ghana,Bank Transfer,Instagram,Pending,No issues
ORD500030,1,2023-01-01T14:53:54Z,XT-01149,Not applicable,renee.nwosu@outlook.com,XT-HOO-005,Harmattan Drop Hoodie,M,3,49700.0,149100.0,Not applicable,Unknown,Bank Transfer,Instagram,Cancelled,No issues
ORD500030,2,2023-01-01T14:53:54Z,XT-01149,Not applicable,renee.nwosu@outlook.com,XT-POS-015,35mm Club Poster A2,S,1,11500.0,11500.0,Not applicable,Kenya,Stripe,Instagram,Cancelled,No issues
ORD500030,3,2023-01-01T14:53:54Z,XT-01149,XT-08891,renee.nwosu@outlook.com,XT-HOO-029,Studio Basics Hoodie,One Size,2,47400.0,94800.0,Not applicable,United States,Flutterwave,Instagram,Cancelled,client_id_repaired_from_same_order
ORD500031,1,2023-01-01T05:09:29Z,XT-01146,Not applicable,sarah.achebe@mail.com,XT-HOO-009,Lagos Nights Hoodie,L,1,45200.0,45200.0,BLACKFRI,United States,Flutterwave,Pop-up,Delivered,No issues
ORD500032,1,2023-01-01T11:42:50Z,Guest,Not applicable,guest99960@mail.com,XT-HOO-005,Harmattan Drop Hoodie,Unknown,2,49700.0,99400.0,Not applicable,United Kingdom,Cash,Website,Pending,No issues
ORD500033,1,2023-01-01T22:49:44Z,Guest,Not applicable,guest20978@mail.com,XT-CAP-031,Studio Basics Cap,One Size,1,14000.0,14000.0,LAGOS10,United Kingdom,Cash,Website,Shipped,No issues
ORD500033,2,2023-01-01T22:49:44Z,Guest,Not applicable,guest21882@mail.com,XT-HOO-009,Lagos Nights Hoodie,Unknown,2,45200.0,90400.0,LAGOS10,Ghana,POS,Instagram,Shipped,No issues
ORD500033,3,2023-01-01T22:49:44Z,Guest,Not applicable,guest48317@mail.com,XT-MUG-018,35mm Club Mug,S,1,6700.0,6700.0,LAGOS10,Canada,Bank Transfer,Instagram,Shipped,No issues
ORD500033,4,2023-01-01T22:49:44Z,Guest,Not applicable,guest96312@mail.com,XT-POS-015,35mm Club Poster A2,L,1,11500.0,11500.0,LAGOS10,United States,POS,Instagram,Shipped,No issues
ORD500034,1,2023-01-01T08:59:45Z,Guest,Not applicable,guest76821@mail.com,XT-POS-015,35mm Club Poster A2,S,1,11500.0,11500.0,BLACKFRI,South Africa,Paystack,Wholesale,Shipped,No issues
ORD500035,1,2023-01-01T13:08:08Z,Guest,Not applicable,guest75791@mail.com,XT-POS-027,Studio Basics Poster A2,L,5,10500.0,52500.0,LAGOS10,Canada,Paystack,Pop-up,Cancelled,No issues
ORD500036,1,2023-01-01T15:32:32Z,Guest,Not applicable,guest51350@mail.com,XT-LEN-028,Studio Basics Lens Cloth,M,1,4900.0,4900.0,DROP15,Kenya,Stripe,Website,Delivered,No issues
ORD500036,2,2023-01-01T15:32:32Z,Guest,Not applicable,guest99533@mail.com,XT-LEN-001,Harmattan Drop Lens Cloth,M,1,4700.0,4700.0,DROP15,United States,PayPal,Instagram,Delivered,No issues
ORD500036,3,2023-01-01T15:32:32Z,Guest,Not applicable,guest1862@mail.com,XT-TEE-017,35mm Club Tee,XXL,1,20300.0,20300.0,DROP15,Nigeria,Paystack,Pop-up,Delivered,No issues
ORD500036,4,2023-01-01T15:32:32Z,Guest,Not applicable,guest11701@mail.com,XT-POS-006,Harmattan Drop Poster A2,L,2,12200.0,24400.0,DROP15,Nigeria,Flutterwave,Website,Delivered,No issues
ORD500037,1,2023-01-01T21:14:49Z,XT-01210,Not applicable,harmattan.media@company.ng,XT-STI-010,Lagos Nights Sticker Pack,Unknown,1,3700.0,3700.0,LAGOS10,Canada,Bank Transfer,Unknown,Cancelled,No issues
ORD500038,1,2023-01-01T10:55:24Z,XT-01519,Not applicable,ahmed.chen@outlook.com,XT-MUG-041,Behind The Lens Mug,L,1,7400.0,7400.0,BLACKFRI,United Kingdom,POS,Pop-up,Shipped,No issues
ORD500039,1,2023-01-01T22:06:14Z,XT-01059,Not applicable,bjorn.mohammed@company.ng,XT-LIM-045,Behind The Lens Limited Print,M,2,72300.0,144600.0,LAGOS10,United Kingdom,Cash,Pop-up,Returned,No issues
ORD500040,1,2023-01-02T16:55:12Z,XT-00182,Not applicable,priya.ibrahim@gmail.com,XT-TEE-017,35mm Club Tee,S,1,20300.0,20300.0,BLACKFRI,Nigeria,Stripe,Website,Shipped,No issues
ORD500041,1,2023-01-02T22:30:12Z,XT-00755,Not applicable,mango.telecom@outlook.com,XT-CAP-016,35mm Club Cap,M,1,15000.0,15000.0,Not applicable,South Africa,PayPal,Instagram,Returned,No issues
ORD500042,1,2023-01-02T14:53:39Z,XT-00169,Not applicable,marcus.olawale@outlook.com,XT-POS-020,Golden Hour Poster A2,Unknown,1,14500.0,14500.0,LAGOS10,United Kingdom,Paystack,Instagram,Delivered,No issues
ORD500043,1,2023-01-02T07:07:27Z,XT-00069,Not applicable,kraft.brands@yahoo.com,XT-LIM-036,Anniversary ’05 Limited Print,L,1,55300.0,55300.0,BLACKFRI,Kenya,PayPal,Website,Shipped,No issues
ORD500044,1,2023-01-02T07:01:16Z,XT-01696,Not applicable,kraft.records@outlook.com,XT-HOO-025,Golden Hour Hoodie,Unknown,1,43600.0,43600.0,Not applicable,United States,Flutterwave,Instagram,Cancelled,No issues
ORD500044,2,2023-01-02T07:01:16Z,XT-01696,Not applicable,kraft.records@outlook.com,XT-CAP-043,Behind The Lens Cap,L,1,13700.0,13700.0,Not applicable,South Africa,Flutterwave,Instagram,Cancelled,No issues
ORD500045,1,2023-01-02T14:21:32Z,Guest,Not applicable,guest25002@mail.com,XT-LEN-001,Harmattan Drop Lens Cloth,XXL,1,4700.0,4700.0,Not applicable,Nigeria,PayPal,Wholesale,Delivered,product_name_did_not_match_sku
ORD500046,1,2023-01-02T01:34:15Z,Guest,Not applicable,guest67244@mail.com,XT-LEN-034,Anniversary ’05 Lens Cloth,L,1,3900.0,3900.0,Not applicable,Nigeria,Paystack,Pop-up,Cancelled,No issues
ORD500047,1,2023-01-02T21:29:19Z,Guest,Not applicable,guest53255@mail.com,XT-TEE-040,Behind The Lens Tee,L,2,21000.0,42000.0,Not applicable,Nigeria,Bank Transfer,Instagram,Pending,No issues
ORD500047,2,2023-01-02T21:29:19Z,Guest,Not applicable,guest64818@mail.com,XT-TEE-017,35mm Club Tee,One Size,1,20300.0,20300.0,Not applicable,United Kingdom,PayPal,Instagram,Pending,No issues
ORD500048,1,2023-01-02T00:13:24Z,XT-00410,Not applicable,cassava.ngo@yahoo.com,XT-CAP-043,Behind The Lens Cap,One Size,2,13700.0,27400.0,Not applicable,Nigeria,Paystack,Pop-up,Delivered,No issues
ORD500049,1,2023-01-02T06:26:35Z,Guest,Not applicable,guest39921@mail.com,XT-LEN-024,Golden Hour Lens Cloth,L,1,3900.0,3900.0,STUDENT5,Unknown,Stripe,Wholesale,Delivered,No issues
ORD500050,1,2023-01-02T18:56:34Z,Guest,Not applicable,guest45055@mail.com,XT-MUG-035,Anniversary ’05 Mug,Unknown,3,7500.0,22500.0,DROP15,Ghana,Cash,Website,Shipped,No issues
ORD500051,1,2023-01-02T17:58:37Z,XT-01363,Not applicable,fatima.balogun@mail.com,XT-CAP-007,Lagos Nights Cap,Unknown,1,13300.0,13300.0,LAGOS10,United States,POS,Pop-up,Delivered,No issues
ORD500052,1,2023-01-02T17:20:16Z,XT-00649,Not applicable,wei.chukwu@outlook.com,XT-MUG-041,Behind The Lens Mug,XL,1,7400.0,7400.0,LAGOS10,Nigeria,Flutterwave,Instagram,Cancelled,No issues
ORD500052,2,2023-01-02T17:20:16Z,XT-00649,Not applicable,wei.chukwu@outlook.com,XT-LIM-036,Anniversary ’05 Limited Print,M,1,55300.0,55300.0,LAGOS10,Canada,Cash,Instagram,Cancelled,No issues
ORD500052,3,2023-01-02T17:20:16Z,XT-00649,Not applicable,wei.chukwu@outlook.com,XT-STI-044,Behind The Lens Sticker Pack,One Size,12,3300.0,39600.0,LAGOS10,United Kingdom,Cash,Unknown,Cancelled,No issues
ORD500052,4,2023-01-02T17:20:16Z,XT-00649,Not applicable,wei.chukwu@outlook.com,XT-TOT-004,Harmattan Drop Tote Bag,M,2,10600.0,21200.0,LAGOS10,South Africa,Unknown,Website,Cancelled,No issues
ORD500052,5,2023-01-02T17:20:16Z,XT-00649,Not applicable,wei.chukwu@outlook.com,XT-STI-013,35mm Club Sticker Pack,One Size,1,2200.0,2200.0,LAGOS10,Nigeria,Bank Transfer,Website,Cancelled,product_name_did_not_match_sku
ORD500052,6,2023-01-02T17:20:16Z,XT-00649,Not applicable,wei.chukwu@outlook.com,XT-LEN-034,Anniversary ’05 Lens Cloth,M,1,3900.0,3900.0,LAGOS10,Ghana,Bank Transfer,Instagram,Cancelled,No issues
ORD500053,1,2023-01-02T17:37:09Z,Guest,Not applicable,guest46252@mail.com,XT-POS-020,Golden Hour Poster A2,XL,1,14500.0,14500.0,DROP15,Canada,Flutterwave,Instagram,Pending,No issues
ORD500053,2,2023-01-02T17:37:09Z,Guest,Not applicable,guest79494@mail.com,XT-TEE-030,Studio Basics Tee,S,1,16800.0,16800.0,DROP15,Ghana,Bank Transfer,Pop-up,Pending,No issues
ORD500054,1,2023-01-02T01:12:09Z,XT-01158,Not applicable,kofi.nwosu@mail.com,XT-OVE-042,Behind The Lens Oversized Tee,S,1,20500.0,20500.0,Not applicable,United Kingdom,POS,Website,Returned,No issues
ORD500054,2,2023-01-02T01:12:09Z,XT-01158,Not applicable,kofi.nwosu@mail.com,XT-CAP-031,Studio Basics Cap,L,2,14000.0,28000.0,Not applicable,Unknown,PayPal,Unknown,Returned,No issues
ORD500054,3,2023-01-02T01:12:09Z,XT-01158,Not applicable,kofi.nwosu@mail.com,XT-LIM-036,Anniversary ’05 Limited Print,One Size,1,55300.0,55300.0,Not applicable,United States,Bank Transfer,Instagram,Returned,No issues
ORD500054,4,2023-01-02T01:12:09Z,XT-01158,Not applicable,kofi.nwosu@mail.com,XT-LEN-039,Behind The Lens Lens Cloth,L,3,5300.0,15900.0,Not applicable,Nigeria,Cash,Pop-up,Returned,No issues
ORD500055,1,2023-01-02T20:30:21Z,Guest,Not applicable,guest30859@mail.com,XT-LIM-011,Lagos Nights Limited Print,Unknown,1,58400.0,58400.0,Not applicable,United Kingdom,Paystack,Website,Pending,No issues
ORD500056,1,2023-01-02T02:45:29Z,XT-01420,Not applicable,blue.ivy.ltd@gmail.com,XT-HOO-014,35mm Club Hoodie,One Size,1,51900.0,51900.0,LAGOS10,Nigeria,Paystack,Pop-up,Shipped,No issues
ORD500056,2,2023-01-02T02:45:29Z,XT-01420,Not applicable,blue.ivy.ltd@gmail.com,XT-POS-027,Studio Basics Poster A2,L,1,10500.0,10500.0,LAGOS10,South Africa,Bank Transfer,Pop-up,Shipped,No issues
ORD500057,1,2023-01-02T19:19:42Z,Guest,Not applicable,guest19167@mail.com,XT-STI-010,Lagos Nights Sticker Pack,M,1,3700.0,3700.0,Not applicable,Unknown,Paystack,Website,Delivered,No issues
ORD500057,2,2023-01-02T19:19:42Z,Guest,Not applicable,Unknown,XT-CAP-007,Lagos Nights Cap,M,1,13300.0,13300.0,Not applicable,Kenya,Flutterwave,Instagram,Delivered,No issues
ORD500058,1,2023-01-02T07:38:43Z,XT-00571,Not applicable,obsidian.brands@outlook.com,XT-HOO-005,Harmattan Drop Hoodie,S,1,49700.0,49700.0,BLACKFRI,South Africa,Flutterwave,Wholesale,Fulfilled,No issues
ORD500058,2,2023-01-02T07:38:43Z,XT-00571,Not applicable,obsidian.brands@outlook.com,XT-STI-013,35mm Club Sticker Pack,M,1,2200.0,2200.0,BLACKFRI,South Africa,Cash,Website,Fulfilled,No issues
ORD500059,1,2023-01-03T14:57:35Z,Guest,Not applicable,guest10276@mail.com,XT-OVE-012,35mm Club Oversized Tee,XXL,2,27700.0,55400.0,LAGOS10,United States,PayPal,Website,Returned,No issues
ORD500059,2,2023-01-03T14:57:35Z,Guest,Not applicable,guest61487@mail.com,XT-HOO-037,Anniversary ’05 Hoodie,Unknown,1,34700.0,34700.0,LAGOS10,Nigeria,Bank Transfer,Website,Returned,No issues
ORD500060,1,2023-01-03T20:14:46Z,XT-01151,Not applicable,cassava.collective@gmail.com,XT-LIM-036,Anniversary ’05 Limited Print,One Size,1,55300.0,55300.0,Not applicable,Nigeria,Bank Transfer,Pop-up,Cancelled,No issues
ORD500061,1,2023-01-03T22:27:50Z,XT-01794,Not applicable,aisha.olawale@gmail.com,XT-LEN-019,35mm Club Lens Cloth,XXL,2,4300.0,8600.0,DROP15,Nigeria,Unknown,Website,Cancelled,No issues
ORD500062,1,2023-01-03T09:30:28Z,Guest,Not applicable,guest19275@mail.com,XT-CAP-016,35mm Club Cap,Unknown,1,15000.0,15000.0,XTRIM20,United States,Flutterwave,Website,Pending,No issues
ORD500063,1,2023-01-03T01:53:04Z,Guest,Not applicable,guest47463@mail.com,XT-HOO-025,Golden Hour Hoodie,M,1,43600.0,43600.0,Not applicable,Nigeria,Bank Transfer,Instagram,Shipped,No issues
ORD500063,2,2023-01-03T01:53:04Z,Guest,Not applicable,guest67753@mail.com,XT-POS-020,Golden Hour Poster A2,S,1,14500.0,14500.0,Not applicable,Kenya,Paystack,Wholesale,Shipped,No issues
ORD500064,1,2023-01-03T14:08:19Z,XT-00270,Not applicable,cassava.holdings@gmail.com,XT-STI-044,Behind The Lens Sticker Pack,S,1,3300.0,3300.0,XTRIM20,United States,PayPal,Instagram,Delivered,No issues
ORD500065,1,2023-01-03T11:06:17Z,Guest,Not applicable,guest23478@mail.com,XT-LEN-028,Studio Basics Lens Cloth,Unknown,1,4900.0,4900.0,LAGOS10,Unknown,Unknown,Pop-up,Shipped,No issues
ORD500066,1,2023-01-03T08:26:38Z,Guest,Not applicable,guest45243@mail.com,XT-CAP-016,35mm Club Cap,One Size,1,15000.0,15000.0,XTRIM20,Canada,Paystack,Instagram,Returned,product_name_did_not_match_sku
ORD500066,2,2023-01-03T08:26:38Z,Guest,Not applicable,guest47854@mail.com,XT-CAP-043,Behind The Lens Cap,S,1,13700.0,13700.0,XTRIM20,Kenya,Bank Transfer,Website,Returned,No issues
ORD500067,1,2023-01-03T15:13:22Z,Guest,Not applicable,guest64694@mail.com,XT-CAP-043,Behind The Lens Cap,XXL,1,13700.0,13700.0,LAGOS10,United Kingdom,Cash,Pop-up,Shipped,No issues
ORD500068,1,2023-01-03T09:29:09Z,Guest,Not applicable,guest69699@mail.com,XT-TEE-017,35mm Club Tee,M,1,20300.0,20300.0,Not applicable,United States,POS,Website,Delivered,No issues
ORD500068,2,2023-01-03T09:29:09Z,Guest,Not applicable,guest41036@mail.com,XT-HOO-025,Golden Hour Hoodie,XL,1,43600.0,43600.0,Not applicable,United States,Cash,Instagram,Delivered,No issues
ORD500069,1,2023-01-03T22:04:58Z,Guest,Not applicable,guest92341@mail.com,XT-LIM-011,Lagos Nights Limited Print,S,1,58400.0,58400.0,XTRIM20,Canada,Bank Transfer,Website,Cancelled,No issues
ORD500070,1,2023-01-03T03:34:37Z,Guest,Not applicable,guest43127@mail.com,XT-CAP-007,Lagos Nights Cap,One Size,3,13300.0,39900.0,Not applicable,United States,Paystack,Instagram,Returned,No issues
ORD500071,1,2023-01-03T06:38:00Z,XT-00918,Not applicable,zainab.chen@mail.com,XT-TEE-017,35mm Club Tee,M,1,20300.0,20300.0,Not applicable,United Kingdom,POS,Pop-up,Cancelled,No issues
ORD500072,1,2023-01-03T01:36:13Z,Guest,Not applicable,guest62363@mail.com,XT-TEE-040,Behind The Lens Tee,L,1,21000.0,21000.0,BLACKFRI,Canada,Paystack,Unknown,Cancelled,No issues
ORD500073,1,2023-01-03T21:11:33Z,XT-00556,Not applicable,ahmed.okafor@company.ng,XT-POS-027,Studio Basics Poster A2,Unknown,5,10500.0,52500.0,XTRIM20,United Kingdom,Cash,Website,Shipped,No issues
ORD500073,2,2023-01-03T21:11:33Z,XT-00556,Not applicable,ahmed.okafor@company.ng,XT-TEE-030,Studio Basics Tee,Unknown,2,16800.0,33600.0,XTRIM20,Ghana,PayPal,Wholesale,Shipped,No issues
ORD500074,1,2023-01-03T16:45:47Z,XT-01110,Not applicable,third.mainland.ngo@company.ng,XT-TOT-004,Harmattan Drop Tote Bag,S,1,10600.0,10600.0,Not applicable,United States,Bank Transfer,Instagram,Returned,product_name_did_not_match_sku
ORD500074,2,2023-01-03T16:45:47Z,XT-01110,Not applicable,third.mainland.ngo@company.ng,XT-LIM-045,Behind The Lens Limited Print,XL,1,72300.0,72300.0,Not applicable,United States,Bank Transfer,Instagram,Returned,No issues
ORD500075,1,2023-01-03T19:13:52Z,XT-00018,Not applicable,silverbird.brands@yahoo.com,XT-POS-015,35mm Club Poster A2,One Size,1,11500.0,11500.0,FREESHIP,United States,Flutterwave,Pop-up,Returned,No issues
ORD500076,1,2023-01-03T19:13:12Z,Guest,Not applicable,guest74567@mail.com,XT-STI-044,Behind The Lens Sticker Pack,XXL,1,3300.0,3300.0,Not applicable,United States,Stripe,Pop-up,Shipped,No issues
ORD500077,1,2023-01-03T00:31:42Z,Guest,Not applicable,guest12102@mail.com,XT-HOO-005,Harmattan Drop Hoodie,XXL,1,49700.0,49700.0,Not applicable,United Kingdom,Paystack,Pop-up,Shipped,No issues
ORD500077,2,2023-01-03T00:31:42Z,Guest,Not applicable,Unknown,XT-MUG-003,Harmattan Drop Mug,Unknown,1,9100.0,9100.0,Not applicable,Nigeria,Flutterwave,Website,Shipped,No issues
ORD500077,3,2023-01-03T00:31:42Z,Guest,Not applicable,guest72683@mail.com,XT-CAP-043,Behind The Lens Cap,S,2,13700.0,27400.0,Not applicable,South Africa,Stripe,Instagram,Shipped,No issues
ORD500077,4,2023-01-03T00:31:42Z,Guest,Not applicable,guest39494@mail.com,XT-MUG-018,35mm Club Mug,XXL,2,6700.0,13400.0,Not applicable,Nigeria,Bank Transfer,Instagram,Shipped,product_name_did_not_match_sku
ORD500078,1,2023-01-03T13:13:40Z,XT-00282,Not applicable,segun.anyanwu@yahoo.com,XT-LEN-034,Anniversary ’05 Lens Cloth,S,2,3900.0,7800.0,Not applicable,Unknown,Bank Transfer,Pop-up,Delivered,No issues
ORD500079,1,2023-01-03T14:11:55Z,XT-00056,Not applicable,ember.ngo@mail.com,XT-LIM-002,Harmattan Drop Limited Print,S,2,0.0,0.0,LAGOS10,Nigeria,Stripe,Pop-up,Pending,product_name_did_not_match_sku
ORD500080,1,2023-01-03T02:13:54Z,Guest,Not applicable,guest6735@mail.com,XT-MUG-035,Anniversary ’05 Mug,XXL,1,7500.0,7500.0,Not applicable,United States,PayPal,Pop-up,Cancelled,No issues
