client_id,client_name,client_type,email,phone,city,country,billing_currency,signup_date,acquisition_channel,notes,merged_from,match_confidence,dq_flags
XT-00020,Third Mainland Brands,Corporate,third.mainland.brands@yahoo.com,+2348020043896,Abuja,Nigeria,NGN,2024-07-13,Instagram,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,client_type_derived_from_name
XT-00021,Thabo Mohammed,Individual,thabo.mohammed@outlook.com,+2348099086204,Port Harcourt,Nigeria,NGN,2023-01-31,Unknown,VIP - handle w/ care,Not applicable,Not applicable,No issues
XT-00022,Sahara Brands,Corporate,sahara.brands@yahoo.com,Unknown,Abuja,Nigeria,NGN,2022-02-17,TikTok,invoice to accounts dept,Not applicable,Not applicable,phone_invalid_9_digits
XT-00023,Zainab Adebayo-Cole,Individual,zainab.adebayo-cole@mail.com,Unknown,Johannesburg,South Africa,NGN,2021-06-11,Walk-in,Owes balance,Not applicable,Not applicable,"client_type_derived_from_name,phone_invalid_9_digits"
XT-00024,Priya Balogun,Individual,priya.balogun@outlook.com,Unknown,Atlanta,United States,NGN,2023-01-11,Agency Partner,do not call before 10am,Not applicable,Not applicable,phone_invalid_9_digits
XT-00025,Novo Media,Corporate,novo.media@outlook.com,+2348092129171,Lagos,Nigeria,NGN,2022-10-01,Agency Partner,VIP - handle w/ care,Not applicable,Not applicable,No issues
XT-00026,Kraft Brands,Corporate,kraft.brands@mail.com,+2348045738201,Lagos,Nigeria,NGN,2022-10-09,Google,Not applicable,Not applicable,Not applicable,No issues
XT-00027,Grace Balogun,Individual,grace.balogun@mail.com,+2348018115370,Nairobi,Kenya,NGN,2021-03-23,Google,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,No issues
XT-00028,Femi Müller,Individual,femi.muller@outlook.com,Unknown,Port Harcourt,Nigeria,NGN,2023-04-12,Google,Not applicable,Not applicable,Not applicable,No issues
XT-00029,Delta Rise NGO,Corporate,delta.rise.ngo@yahoo.com,+2348090762314,Lagos,Nigeria,NGN,2023-07-28,Agency Partner,do not call before 10am,Not applicable,Not applicable,No issues
XT-00030,Mango Bank PLC,Corporate,mango.bank.plc@mail.com,+2348093116324,Abuja,Nigeria,NGN,2023-08-22,TikTok,VIP - handle w/ care,Not applicable,Not applicable,city_taken_from_own_bookings
XT-00031,Mango Holdings,Corporate,mango.holdings@yahoo.com,+2348075694794,Unknown,Nigeria,NGN,Unknown,Agency Partner,do not call before 10am,Not applicable,Not applicable,No issues
XT-00032,Thabo Danjuma,Individual,thabo.danjuma@yahoo.com,Unknown,Johannesburg,South Africa,NGN,2023-04-29,Agency Partner,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00033,Cassava Brands,Corporate,cassava.brands@outlook.com,+2348041065136,Johannesburg,South Africa,NGN,2022-06-10,Agency Partner,Not applicable,Not applicable,Not applicable,city_taken_from_own_bookings
XT-00034,Yusuf O'Brien,Individual,yusuf.obrien@gmail.com,Unknown,Enugu,Nigeria,NGN,2020-12-04,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00035,Anchor Brands,Corporate,anchor.brands@mail.com,+2348030563890,Lagos,Nigeria,NGN,2021-05-03,Agency Partner,Owes balance,Not applicable,Not applicable,city_taken_from_own_bookings
XT-00036,Harmattan Limited,Corporate,harmattan.limited@outlook.com,Unknown,Abuja,Nigeria,NGN,2024-08-03,Unknown,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00037,Zenith Media,Corporate,zenith.media@mail.com,Unknown,Port Harcourt,Nigeria,NGN,2023-01-13,Google,VIP - handle w/ care,Not applicable,Not applicable,phone_invalid_9_digits
XT-00038,Mango Collective,Corporate,mango.collective@outlook.com,+2348046513996,Lagos,Nigeria,NGN,2023-01-16,Unknown,do not call before 10am,Not applicable,Not applicable,No issues
XT-00039,Adaeze Achebe,Individual,adaeze.achebe@outlook.com,+2348081842943,Enugu,Nigeria,NGN,2022-02-04,Agency Partner,Not applicable,Not applicable,Not applicable,country_derived_from_city
XT-00040,Mango Collective,Corporate,mango.collective@outlook.com,+2348062820193,Enugu,Nigeria,NGN,2022-08-16,TikTok,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,No issues
XT-00041,Priya Smith,Individual,priya.smith@yahoo.com,+2348031450114,Abuja,Nigeria,NGN,2022-03-10,Referral,Not applicable,Not applicable,Not applicable,No issues
XT-00042,Delta Rise Collective,Corporate,delta.rise.collective@company.ng,Unknown,Abuja,Nigeria,NGN,2021-11-12,Google,Owes balance,Not applicable,Not applicable,phone_invalid_8_digits
XT-00043,Sade Mensah,Individual,sade.mensah@mail.com,+2348076881588,Abuja,Nigeria,NGN,Unknown,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00044,Thabo Adeyemi,Individual,thabo.adeyemi@yahoo.com,+2348079465859,Johannesburg,South Africa,NGN,2023-02-27,Unknown,Owes balance,Not applicable,Not applicable,client_type_derived_from_name
XT-00045,Elena O'Brien,Individual,Unknown,Unknown,Lagos,Nigeria,NGN,2022-05-17,Agency Partner,"Discount agreed, see email",Not applicable,Not applicable,phone_invalid_9_digits
XT-00046,Obinna Mohammed,Individual,obinna.mohammed@mail.com,Unknown,Abuja,Nigeria,NGN,2024-01-02,Email,VIP - handle w/ care,Not applicable,Not applicable,phone_invalid_9_digits
XT-00047,Sarah Bello,Individual,sarah.bello@outlook.com,+2348037362056,Lagos,Nigeria,NGN,2023-04-09,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00048,Priya Ojo,Individual,priya.ojo@yahoo.com,Unknown,Lagos,Nigeria,NGN,2023-05-28,Walk-in,"Discount agreed, see email",Not applicable,Not applicable,phone_invalid_9_digits
XT-00049,Sahara Bank PLC,Corporate,sahara.bank.plc@company.ng,+2348028417793,Lagos,Nigeria,NGN,2021-10-25,Instagram,Not applicable,Not applicable,Not applicable,No issues
XT-00050,Kraft Agency,Corporate,kraft.agency@gmail.com,Unknown,Dubai,United Arab Emirates,NGN,2022-01-10,Email,Not applicable,Not applicable,Not applicable,No issues
XT-00051,Temitope Adeyemi,Individual,temitope.adeyemi@company.ng,+2348013261733,Abuja,Nigeria,NGN,2022-10-06,Unknown,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00052,Ngozi Danjuma,Individual,ngozi.danjuma@yahoo.com,Unknown,Lagos,Nigeria,NGN,2022-07-15,Referral,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00053,Sahara Limited,Corporate,sahara.limited@outlook.com,+2348099787065,Accra,Ghana,NGN,2023-03-04,Referral,Not applicable,Not applicable,Not applicable,No issues
XT-00054,Delta Rise Studios,Corporate,delta.rise.studios@yahoo.com,Unknown,Abuja,Nigeria,NGN,2023-03-03,Agency Partner,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,phone_invalid_9_digits
XT-00055,Tunde Smith,Individual,tunde.smith@company.ng,+2348014564531,Port Harcourt,Nigeria,NGN,2022-11-17,Walk-in,"Discount agreed, see email",Not applicable,Not applicable,No issues
XT-00056,Ember NGO,Corporate,ember.ngo@mail.com,+2348029954824,Abuja,Nigeria,NGN,Unknown,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00057,Daniel Farouk,Individual,daniel.farouk@gmail.com,+2348088450054,Ibadan,Nigeria,NGN,2023-04-10,Walk-in,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00058,Temitope Mohammed,Individual,temitope.mohammed@company.ng,+2348016559353,Nairobi,Kenya,NGN,2023-06-25,Email,Not applicable,Not applicable,Not applicable,No issues
XT-00059,Musa Chen,Individual,musa.chen@outlook.com,+2348069962689,London,United Kingdom,NGN,2021-06-24,TikTok,Not applicable,Not applicable,Not applicable,No issues
XT-00060,Kraft Limited,Corporate,kraft.limited@company.ng,Unknown,Lagos,Nigeria,NGN,2023-05-07,Agency Partner,invoice to accounts dept,Not applicable,Not applicable,phone_invalid_9_digits
XT-00061,Sahara Agency,Corporate,Unknown,+2348083971923,Lagos,Nigeria,NGN,2023-08-03,Unknown,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,No issues
XT-00062,Cassava Agency,Corporate,cassava.agency@outlook.com,+2348045200638,Lagos,Nigeria,NGN,2024-07-26,Unknown,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00063,Kofi Ibrahim,Individual,kofi.ibrahim@mail.com,+2348012933180,London,United Kingdom,NGN,2022-09-26,Agency Partner,Not applicable,Not applicable,Not applicable,city_taken_from_own_bookings
XT-00064,Mango Group,Corporate,mango.group@gmail.com,Unknown,Port Harcourt,Nigeria,NGN,2024-01-03,TikTok,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00065,Segun Okafor,Individual,segun.okafor@gmail.com,Unknown,Lagos,Nigeria,NGN,2024-03-11,Unknown,Not applicable,Not applicable,Not applicable,phone_invalid_8_digits
XT-00066,Mango Foods,Corporate,mango.foods@mail.com,+2348032256763,Atlanta,United States,NGN,2022-03-01,Walk-in,do not call before 10am,Not applicable,Not applicable,country_derived_from_city
XT-00067,Zainab Adeyemi,Individual,zainab.adeyemi@gmail.com,Unknown,Johannesburg,South Africa,NGN,2022-09-28,Agency Partner,VIP - handle w/ care,Not applicable,Not applicable,phone_invalid_9_digits
XT-00068,Adaeze Nwosu,Individual,adaeze.nwosu@company.ng,+2348064631519,Port Harcourt,Nigeria,NGN,2022-10-05,Agency Partner,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00069,Kraft Brands,Corporate,kraft.brands@yahoo.com,+2348026462085,Lagos,Nigeria,NGN,2022-12-29,Agency Partner,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00070,Terra Holdings,Corporate,terra.holdings@gmail.com,+2348033190437,Unknown,Nigeria,NGN,2021-05-14,TikTok,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00071,Northline Group,Corporate,northline.group@yahoo.com,+2348065145252,Ibadan,Nigeria,NGN,2022-03-03,Google,"Discount agreed, see email",Not applicable,Not applicable,client_type_derived_from_name
XT-00072,Marcus Osei,Individual,marcus.osei@mail.com,+2348078390464,Dubai,United Arab Emirates,NGN,2023-07-19,Email,prefers whatsapp,Not applicable,Not applicable,city_taken_from_own_bookings
XT-00073,Cassava Media,Corporate,cassava.media@gmail.com,+2348099570705,Lagos,Nigeria,NGN,2021-04-07,Referral,invoice to accounts dept,XT-02073,0.957,No issues
XT-00074,Cassava LTD,Corporate,cassava.ltd@outlook.com,Unknown,Ibadan,Nigeria,NGN,2024-01-22,Walk-in,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00075,Femi Okafor,Individual,femi.okafor@yahoo.com,+2348054886945,Lagos,Nigeria,NGN,2023-07-12,Google,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00076,Palmwine Collective,Corporate,palmwine.collective@gmail.com,Unknown,Lagos,Nigeria,NGN,2021-12-23,Instagram,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,No issues
XT-00077,Sahara Studios,Corporate,sahara.studios@mail.com,+2348040628292,Lagos,Nigeria,NGN,2023-01-30,TikTok,VIP - handle w/ care,Not applicable,Not applicable,No issues
XT-00078,Obsidian Agency,Corporate,obsidian.agency@gmail.com,+2348068015618,Ibadan,Nigeria,NGN,2023-03-03,Google,prefers whatsapp,XT-02078,0.929,No issues
XT-00079,Anchor LTD,Corporate,anchor.ltd@outlook.com,Unknown,Abuja,Nigeria,NGN,2022-01-30,Unknown,Owes balance,Not applicable,Not applicable,phone_invalid_9_digits
XT-00080,Palmwine Records,Corporate,palmwine.records@outlook.com,+2348082179959,Lagos,Nigeria,NGN,2020-12-27,Email,Not applicable,Not applicable,Not applicable,No issues
XT-00081,Ember Brands,Corporate,Unknown,+2348063536401,Lagos,Nigeria,NGN,2024-04-20,Referral,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00082,Sarah Dlamini,Individual,sarah.dlamini@outlook.com,Unknown,Atlanta,United States,NGN,2021-10-11,Unknown,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,No issues
XT-00083,Blue Ivy NGO,Corporate,blue.ivy.ngo@gmail.com,+2348050625565,Lagos,Nigeria,NGN,2023-12-27,Walk-in,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00084,Terra Bank PLC,Corporate,terra.bank.plc@yahoo.com,+2348043839884,Lagos,Nigeria,NGN,2022-03-23,Agency Partner,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00085,Terra Foods,Corporate,terra.foods@outlook.com,+2348046468217,Kano,Nigeria,NGN,2021-12-05,Google,Not applicable,Not applicable,Not applicable,No issues
XT-00086,Blue Ivy Media,Corporate,Unknown,Unknown,Lagos,Nigeria,NGN,2023-08-20,Agency Partner,do not call before 10am,Not applicable,Not applicable,No issues
XT-00087,Musa Anyanwu,Individual,Unknown,Unknown,Lagos,Nigeria,NGN,2022-01-13,Instagram,invoice to accounts dept,Not applicable,Not applicable,phone_invalid_8_digits
XT-00088,Third Mainland Foods,Corporate,third.mainland.foods@mail.com,Unknown,Atlanta,United States,NGN,2020-10-26,Email,Not applicable,Not applicable,Not applicable,No issues
XT-00089,Novo Studios,Corporate,novo.studios@mail.com,+2348010565607,Abuja,Nigeria,NGN,2021-10-14,Instagram,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00090,Grace Farouk,Individual,grace.farouk@mail.com,+2348010587071,Enugu,Nigeria,NGN,2022-03-22,Instagram,"Repeat client, 3rd project see 2022 folder",XT-02090,0.957,No issues
XT-00091,Palmwine Holdings,Corporate,palmwine.holdings@company.ng,+2348030138201,London,United Kingdom,NGN,2021-11-28,Google,VIP - handle w/ care,Not applicable,Not applicable,No issues
XT-00092,Obsidian Bank PLC,Corporate,obsidian.bank.plc@gmail.com,Unknown,London,United Kingdom,NGN,2022-02-10,Referral,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,"country_derived_from_city,phone_invalid_9_digits"
XT-00093,Delta Rise Collective,Corporate,delta.rise.collective@gmail.com,+2348081339066,London,United Kingdom,NGN,Unknown,TikTok,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00094,Silverbird Agency,Corporate,silverbird.agency@outlook.com,+2348032131432,Port Harcourt,Nigeria,NGN,2022-03-24,Referral,prefers whatsapp,XT-02094,0.968,No issues
XT-00095,Chioma Danjuma,Individual,chioma.danjuma@outlook.com,Unknown,Ibadan,Nigeria,NGN,2022-10-04,TikTok,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00096,Musa Achebe,Individual,musa.achebe@mail.com,+2348075933110,Port Harcourt,Nigeria,NGN,2022-11-12,Agency Partner,Owes balance,XT-02096,0.947,No issues
XT-00097,Damilola García,Individual,damilola.garcia@mail.com,+2348065849704,Port Harcourt,Nigeria,NGN,2023-09-12,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00098,Novo Agency,Corporate,Unknown,+2348014341961,Abuja,Nigeria,NGN,2022-05-18,Walk-in,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00099,Delta Rise Holdings,Corporate,delta.rise.holdings@company.ng,Unknown,Lagos,Nigeria,NGN,2024-05-04,TikTok,Not applicable,Not applicable,Not applicable,No issues
XT-00100,Delta Rise Brands,Corporate,delta.rise.brands@mail.com,+2348034398886,Abuja,Nigeria,NGN,2022-09-02,Agency Partner,Owes balance,Not applicable,Not applicable,No issues
XT-00101,Lagoon Telecom,Corporate,lagoon.telecom@mail.com,Unknown,Port Harcourt,Nigeria,NGN,2022-01-29,TikTok,do not call before 10am,Not applicable,Not applicable,phone_invalid_9_digits
XT-00102,Björn Nwosu,Individual,bjorn.nwosu@mail.com,Unknown,Johannesburg,South Africa,NGN,Unknown,Walk-in,do not call before 10am,Not applicable,Not applicable,"city_taken_from_own_bookings,phone_invalid_9_digits"
XT-00103,Radiant Brands,Corporate,radiant.brands@gmail.com,Unknown,Enugu,Nigeria,NGN,2022-11-08,Google,VIP - handle w/ care,Not applicable,Not applicable,phone_invalid_9_digits
XT-00104,Harmattan Records,Corporate,Unknown,Unknown,Accra,Ghana,NGN,2023-05-22,Email,VIP - handle w/ care,Not applicable,Not applicable,phone_invalid_8_digits
XT-00105,Harmattan Records,Corporate,harmattan.records@mail.com,+2348013186342,Abuja,Nigeria,NGN,2024-02-25,Google,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00106,Wei O'Brien,Individual,wei.obrien@mail.com,+2348020370917,Johannesburg,South Africa,NGN,2023-07-22,Instagram,Owes balance,Not applicable,Not applicable,No issues
XT-00107,Terra Records,Corporate,terra.records@yahoo.com,Unknown,Lagos,Nigeria,NGN,2021-11-10,Google,Not applicable,Not applicable,Not applicable,"city_taken_from_own_bookings,country_derived_from_city,phone_invalid_8_digits"
XT-00108,Marcus Mohammed,Individual,marcus.mohammed@mail.com,+2348024879785,Lagos,Nigeria,NGN,2023-05-04,Google,prefers whatsapp,Not applicable,Not applicable,country_derived_from_city
XT-00109,Priya Adebayo-Cole,Individual,priya.adebayo-cole@yahoo.com,+2348047658742,Lagos,Nigeria,NGN,2021-08-23,Unknown,Not applicable,Not applicable,Not applicable,No issues
XT-00110,Olamide Sowore,Individual,olamide.sowore@outlook.com,+2348075117168,Kano,Nigeria,NGN,2023-09-27,Walk-in,do not call before 10am,Not applicable,Not applicable,client_type_derived_from_name
XT-00111,Sade Chukwu,Individual,sade.chukwu@yahoo.com,+2348010180674,Lagos,Nigeria,NGN,2023-02-24,Agency Partner,"Repeat client, 3rd project see 2022 folder",Not applicable,Not applicable,No issues
XT-00112,Femi Mensah,Individual,femi.mensah@gmail.com,+2348058013271,London,United Kingdom,NGN,2023-09-27,Unknown,VIP - handle w/ care,Not applicable,Not applicable,"city_taken_from_own_bookings,country_derived_from_city"
XT-00113,Zenith Records,Corporate,zenith.records@mail.com,+2348056796185,Accra,Ghana,NGN,2024-07-05,Unknown,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00114,Sarah Achebe,Individual,sarah.achebe@yahoo.com,+2348026942352,Abuja,Nigeria,NGN,2023-06-28,Walk-in,Not applicable,Not applicable,Not applicable,No issues
XT-00115,Núria Adeyemi,Individual,nuria.adeyemi@mail.com,Unknown,Abuja,Nigeria,NGN,2022-08-03,Agency Partner,Not applicable,Not applicable,Not applicable,"city_taken_from_own_bookings,phone_invalid_9_digits"
XT-00116,Novo Media,Corporate,novo.media@outlook.com,+2348034648490,Abuja,Nigeria,NGN,2022-07-15,Walk-in,"Discount agreed, see email",Not applicable,Not applicable,No issues
XT-00117,Third Mainland Media,Corporate,third.mainland.media@gmail.com,+2348046840342,Kano,Nigeria,NGN,2022-09-04,Google,"Discount agreed, see email",Not applicable,Not applicable,No issues
XT-00118,Marcus Nwosu,Individual,marcus.nwosu@gmail.com,+2348026952227,Accra,Ghana,NGN,2022-07-06,Google,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00119,Sahara Brands,Corporate,sahara.brands@outlook.com,Unknown,Ibadan,Nigeria,NGN,2021-02-27,Unknown,do not call before 10am,Not applicable,Not applicable,"country_derived_from_city,phone_invalid_9_digits"
XT-00120,Yusuf Farouk,Individual,yusuf.farouk@mail.com,Unknown,Lagos,Nigeria,NGN,2024-03-28,Email,Owes balance,Not applicable,Not applicable,phone_invalid_9_digits
XT-00121,Novo Studios,Corporate,novo.studios@gmail.com,Unknown,Port Harcourt,Nigeria,NGN,2022-10-11,Walk-in,prefers whatsapp,Not applicable,Not applicable,phone_invalid_9_digits
XT-00122,Delta Rise Media,Corporate,delta.rise.media@yahoo.com,Unknown,Lagos,Nigeria,NGN,2022-11-22,Email,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00123,Ahmed Abiola,Individual,ahmed.abiola@outlook.com,Unknown,Abuja,Nigeria,NGN,2021-10-27,Google,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00124,Third Mainland LTD,Corporate,third.mainland.ltd@outlook.com,+2348031082667,Kano,Nigeria,NGN,2023-06-14,Google,Not applicable,Not applicable,Not applicable,No issues
XT-00125,Chidinma Farouk,Individual,chidinma.farouk@yahoo.com,+2348055975056,Lagos,Nigeria,NGN,2023-02-08,Agency Partner,prefers whatsapp,Not applicable,Not applicable,No issues
XT-00126,Mango Holdings,Corporate,mango.holdings@mail.com,+2348078971832,Ibadan,Nigeria,NGN,Unknown,Referral,VIP - handle w/ care,Not applicable,Not applicable,conflicting_values:phone
XT-00127,Sade Chen,Individual,sade.chen@yahoo.com,+2348049934646,Accra,Ghana,NGN,2023-12-31,Agency Partner,Not applicable,Not applicable,Not applicable,No issues
XT-00128,Emeka Dlamini,Individual,emeka.dlamini@mail.com,+2348071615778,Enugu,Nigeria,NGN,2021-10-16,Walk-in,VIP - handle w/ care,Not applicable,Not applicable,No issues
XT-00129,Delta Rise Media,Corporate,delta.rise.media@mail.com,+2348092744536,Nairobi,Kenya,NGN,2023-10-20,Agency Partner,do not call before 10am,Not applicable,Not applicable,country_derived_from_city
XT-00130,Fatima Okafor,Individual,fatima.okafor@mail.com,Unknown,Unknown,Nigeria,NGN,2021-09-05,TikTok,Owes balance,Not applicable,Not applicable,No issues
XT-00131,Sahara Studios,Corporate,sahara.studios@gmail.com,+2348050660425,Accra,Ghana,NGN,2024-06-25,Unknown,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00132,Kobo Agency,Corporate,Unknown,+2348071516238,Ibadan,Nigeria,NGN,2023-01-01,Agency Partner,VIP - handle w/ care,Not applicable,Not applicable,client_type_derived_from_name
XT-00133,Northline Telecom,Corporate,northline.telecom@company.ng,Unknown,Lagos,Nigeria,NGN,2020-08-16,Google,Not applicable,Not applicable,Not applicable,No issues
XT-00134,Marcus Olawale,Individual,marcus.olawale@company.ng,Unknown,Accra,Ghana,NGN,2021-02-23,Unknown,Not applicable,Not applicable,Not applicable,No issues
XT-00135,Kraft Media,Corporate,kraft.media@yahoo.com,Unknown,Lagos,Nigeria,NGN,2023-12-18,TikTok,invoice to accounts dept,Not applicable,Not applicable,phone_invalid_9_digits
XT-00136,Anchor Media,Corporate,anchor.media@mail.com,Unknown,Lagos,Nigeria,NGN,2023-05-18,TikTok,Not applicable,Not applicable,Not applicable,No issues
XT-00137,Tunde Mensah,Individual,tunde.mensah@yahoo.com,+2348072912506,Abuja,Nigeria,NGN,2024-01-19,TikTok,invoice to accounts dept,XT-02137,1.0,No issues
XT-00138,Third Mainland Bank PLC,Corporate,third.mainland.bank.plc@company.ng,+2348014834359,Abuja,Nigeria,NGN,2023-04-15,Referral,Not applicable,Not applicable,Not applicable,client_type_derived_from_name
XT-00139,Harmattan Agency,Corporate,harmattan.agency@gmail.com,+2348089475564,Lagos,Nigeria,NGN,2021-08-06,Email,"Discount agreed, see email",Not applicable,Not applicable,No issues
XT-00140,Ember Limited,Corporate,ember.limited@outlook.com,Unknown,Lagos,Nigeria,NGN,2023-05-12,Agency Partner,"Discount agreed, see email",Not applicable,Not applicable,phone_invalid_9_digits
XT-00141,Sarah Ojo,Individual,sarah.ojo@mail.com,Unknown,London,United Kingdom,NGN,2024-02-13,TikTok,prefers whatsapp,Not applicable,Not applicable,"client_type_derived_from_name,phone_invalid_9_digits"
XT-00142,Musa Chen,Individual,musa.chen@yahoo.com,+2348056673062,Lagos,Nigeria,NGN,2024-03-29,Walk-in,Owes balance,Not applicable,Not applicable,No issues
XT-00143,André Farouk,Individual,Unknown,+2348023871431,Lagos,Nigeria,NGN,2021-06-26,Referral,invoice to accounts dept,Not applicable,Not applicable,No issues
XT-00144,Ember LTD,Corporate,ember.ltd@gmail.com,Unknown,Lagos,Nigeria,NGN,2022-06-01,Unknown,Not applicable,Not applicable,Not applicable,phone_invalid_9_digits
XT-00145,Cassava Brands,Corporate,Unknown,+2348099640007,Dubai,United Arab Emirates,NGN,2021-06-29,Email,VIP - handle w/ care,Not applicable,Not applicable,country_derived_from_city
XT-00146,Sahara Agency,Corporate,sahara.agency+1@outlook.com,Unknown,Johannesburg,South Africa,NGN,2023-08-13,Walk-in,Not applicable,XT-02146,0.917,No issues
XT-00147,Sahara Holdings,Corporate,sahara.holdings@outlook.com,+2348038615824,Kano,Nigeria,NGN,2022-06-19,Google,Not applicable,Not applicable,Not applicable,No issues
